"","PERMNO","YEAR","RET","ret"
"727",10063,1986,0.999999825373789,0.999999825373789
"728",10063,1987,-0.607844023924757,-0.607844023924757
"729",10063,1988,0.199995762643308,0.199995762643308
"730",10063,1989,-0.0470489964649419,-0.0470489964649419
"731",10063,1990,-0.714286364681129,-0.714286364681129
"732",10063,1991,0.916675548629211,0.916675548629211
"733",10063,1992,0.391301661099895,0.391301661099895
"734",10063,1993,-0.500000306915926,-0.500000306915926
"735",10064,1986,0.25772906383064,0.25772906383064
"736",10064,1987,0.131147394341553,0.131147394341553
"737",10064,1988,0.429959013029849,0.429959013029849
"738",10064,1989,0.806124564436049,0.806124564436049
"739",10064,1990,-0.52542285634555,-0.52542285634555
"740",10064,1991,2.23812117648164,2.23812117648164
"741",10064,1992,-0.230684881114587,-0.230684881114587
"742",10064,1993,-0.351952450617319,-0.351952450617319
"743",10064,1994,-0.328365546385428,-0.328365546385428
"744",10064,1995,-0.199997925426923,-0.199997925426923
"745",10064,1996,1.6111201936206,1.6111201936206
"746",10064,1997,2.8480315799051e-06,2.8480315799051e-06
"747",10065,1973,-0.0439921756528472,-0.0439921756528472
"748",10065,1974,-0.310094710241405,-0.310094710241405
"749",10065,1975,0.392202210195979,0.392202210195979
"750",10065,1976,0.353484615360746,0.353484615360746
"751",10065,1977,0.109371351001846,0.109371351001846
"752",10065,1978,-0.0216906305428366,-0.0216906305428366
"753",10065,1979,0.257453215080766,0.257453215080766
"754",10065,1980,0.426009027375652,0.426009027375652
"755",10065,1981,0.0568673637554824,0.0568673637554824
"756",10065,1982,0.346548801513318,0.346548801513318
"757",10065,1983,0.140309753766641,0.140309753766641
"758",10065,1984,0.0500584396739849,0.0500584396739849
"759",10065,1985,0.307199348826381,0.307199348826381
"760",10065,1986,0.228524041880969,0.228524041880969
"761",10065,1987,-0.0683994946494817,-0.0683994946494817
"762",10065,1988,0.112425295760128,0.112425295760128
"763",10065,1989,0.20386487012783,0.20386487012783
